"","id","Count"
"1",1,6
"2",2,6
"3",3,6
"4",4,6
"5",5,6
"6",6,6
"7",7,5
"8",8,6
"9",9,5
"10",10,6
"11",11,4
"12",12,5
"13",13,5
"14",14,6
"15",15,6
"16",16,6
"17",17,6
"18",18,6
"19",19,6
"20",20,6
"21",21,6
"22",22,6
"23",23,6
"24",24,6
"25",25,6
"26",26,6
"27",27,6
"28",28,6
"29",29,6
"30",30,6
"31",31,6
"32",32,5
"33",33,5
"34",34,6
"35",35,6
"36",36,6
"37",37,6
"38",38,6
"39",39,6
"40",40,6
"41",41,6
"42",42,5
"43",43,5
"44",44,6
"45",45,6
"46",46,6
"47",47,6
"48",48,6
"49",49,6
"50",50,6
"51",51,3
"52",52,6
"53",53,6
"54",54,6
"55",55,6
"56",56,5
"57",57,6
"58",58,6
"59",59,6
"60",60,6
"61",61,4
"62",62,6
"63",63,6
"64",64,6
"65",65,5
"66",66,6
"67",67,6
"68",68,6
"69",69,6
"70",70,6
"71",71,3
"72",72,3
"73",73,6
"74",74,6
"75",75,6
"76",76,6
"77",77,6
"78",78,6
"79",79,6
"80",80,6
"81",81,1
"82",82,4
"83",83,6
"84",84,6
"85",85,6
"86",86,6
"87",87,6
"88",88,6
"89",89,6
"90",90,6
"91",91,4
"92",92,6
"93",93,6
"94",94,6
"95",95,6
"96",96,6
"97",97,6
"98",98,4
"99",99,6
"100",100,3
"101",101,3
"102",102,5
"103",103,6
"104",104,6
"105",105,6
"106",106,6
"107",107,6
"108",108,6
"109",109,6
"110",110,6
"111",111,6
"112",112,6
"113",113,6
"114",114,6
"115",115,6
"116",116,6
"117",117,6
"118",118,4
"119",119,6
"120",120,6
"121",121,6
"122",122,6
"123",123,6
"124",124,6
"125",125,6
"126",126,6
"127",127,6
"128",128,6
"129",129,4
"130",130,6
"131",131,6
"132",132,6
"133",133,6
"134",134,6
"135",135,6
"136",136,6
"137",137,6
"138",138,6
"139",139,6
"140",140,6
"141",141,6
"142",142,6
"143",143,6
"144",144,6
"145",145,6
"146",146,6
"147",147,6
"148",148,6
"149",149,6
"150",150,6
"151",151,6
"152",152,6
"153",153,6
"154",154,6
"155",155,6
"156",156,6
"157",157,6
"158",158,6
"159",159,6
"160",160,6
"161",161,6
"162",162,6
"163",163,6
"164",164,6
"165",165,6
"166",166,6
"167",167,6
"168",168,6
"169",169,6
"170",170,5
"171",171,6
"172",172,5
"173",173,6
"174",174,6
"175",175,6
"176",176,6
"177",177,6
"178",178,6
"179",179,6
"180",180,6
"181",181,6
"182",182,6
"183",183,6
"184",184,6
"185",185,6
"186",186,6
"187",187,6
"188",188,6
"189",189,6
"190",190,5
"191",191,6
"192",192,6
"193",193,6
"194",194,6
"195",195,6
"196",196,6
"197",197,6
"198",198,6
"199",199,6
"200",200,6
"201",201,6
"202",202,6
"203",203,6
"204",204,6
"205",205,6
"206",206,6
"207",207,6
"208",208,6
"209",209,6
"210",210,6
"211",211,6
"212",212,6
"213",213,6
"214",214,6
"215",215,5
"216",216,6
"217",217,6
"218",218,6
"219",219,6
"220",220,6
"221",221,6
"222",222,6
"223",223,1
"224",224,6
"225",225,6
"226",226,6
"227",227,6
"228",228,6
"229",229,6
"230",230,6
"231",231,1
"232",232,4
"233",233,4
"234",234,6
"235",235,6
"236",236,6
"237",237,5
"238",238,6
"239",239,6
"240",240,6
"241",241,6
"242",242,6
"243",243,6
"244",244,6
"245",245,6
"246",246,6
"247",247,6
"248",248,6
"249",249,6
"250",250,1
"251",251,6
"252",252,6
"253",253,6
"254",254,6
"255",255,5
"256",256,6
"257",257,6
"258",258,6
"259",259,6
"260",260,6
"261",261,6
"262",262,6
"263",263,6
"264",264,6
"265",265,6
"266",266,6
"267",267,5
"268",268,6
"269",269,6
"270",270,3
"271",271,6
"272",272,6
"273",273,6
"274",274,1
"275",275,1
"276",276,6
"277",277,6
"278",278,6
"279",279,6
"280",280,6
"281",281,6
"282",282,6
"283",283,6
"284",284,6
"285",285,6
"286",286,6
"287",287,6
"288",288,6
"289",289,6
"290",290,6
"291",291,6
"292",292,5
"293",293,6
"294",294,6
"295",295,6
"296",296,5
"297",297,6
"298",298,3
"299",299,6
"300",300,6
"301",301,6
"302",302,6
"303",303,6
"304",304,6
"305",305,6
"306",306,6
"307",307,6
"308",308,6
"309",309,6
"310",310,6
"311",311,3
"312",312,6
"313",313,6
"314",314,6
"315",315,6
"316",316,6
"317",317,6
"318",318,6
"319",319,6
"320",320,6
"321",321,6
"322",322,4
"323",323,6
"324",324,5
"325",325,6
"326",326,6
"327",327,6
"328",328,6
"329",329,6
"330",330,5
"331",331,1
"332",332,6
"333",333,4
"334",334,6
"335",335,6
"336",336,1
"337",337,6
"338",338,6
"339",339,6
"340",340,6
"341",341,6
"342",342,6
"343",343,6
"344",344,6
"345",345,6
"346",346,6
"347",347,6
"348",348,6
"349",349,5
"350",350,6
"351",351,4
"352",352,3
"353",353,6
"354",354,6
"355",355,6
"356",356,6
"357",357,6
"358",358,6
"359",359,6
"360",360,3
"361",361,6
"362",362,6
"363",363,6
"364",364,6
"365",365,6
"366",366,5
"367",367,6
"368",368,6
"369",369,6
"370",370,6
"371",371,6
"372",372,6
"373",373,6
"374",374,5
"375",375,6
"376",376,6
"377",377,6
"378",378,6
"379",379,6
"380",380,6
"381",381,6
"382",382,6
"383",383,6
"384",384,6
"385",385,5
"386",386,5
"387",387,6
"388",388,6
"389",389,6
"390",390,4
